Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2016,FI_FSI_FSKA,,PT,,23.3
2018,FI_FSI_FSKA,,PT,,25.5
2019,FI_FSI_FSKA,,PT,,24.1
2020,FI_FSI_FSKA,,PT,,21.5
2021,FI_FSI_FSKA,,PT,,21.5
2022,FI_FSI_FSKA,,PT,,21.7
2023,FI_FSI_FSKA,,PT,,21.5
2016,FI_FSI_FSKRTC,,PT,,20.7
2018,FI_FSI_FSKRTC,,PT,,20.8
2019,FI_FSI_FSKRTC,,PT,,22.6
2020,FI_FSI_FSKRTC,,PT,,20.3
2021,FI_FSI_FSKRTC,,PT,,20.6
2022,FI_FSI_FSKRTC,,PT,,20.9
2023,FI_FSI_FSKRTC,,PT,,20.3
2016,FI_FSI_FSKNL,,PT,,17.1
2018,FI_FSI_FSKNL,,PT,,11.0
2019,FI_FSI_FSKNL,,PT,,11.0
2020,FI_FSI_FSKNL,,PT,,5.7
2021,FI_FSI_FSKNL,,PT,,4.3
2016,FI_FSI_FSANL,,PT,,7.6
2018,FI_FSI_FSANL,,PT,,6.4
2019,FI_FSI_FSANL,,PT,,4.9
2020,FI_FSI_FSANL,,PT,,9.0
2021,FI_FSI_FSANL,,PT,,6.4
2016,FI_FSI_FSERA,,PT,,2.6
2018,FI_FSI_FSERA,,PT,,2.8
2019,FI_FSI_FSERA,,PT,,12.5
2020,FI_FSI_FSERA,,PT,,2.5
2016,FI_FSI_FSLS,,PT,,111.9
2018,FI_FSI_FSLS,,PT,,129.6
2019,FI_FSI_FSLS,,PT,,180.5
2020,FI_FSI_FSLS,,PT,,226.2
2021,FI_FSI_FSLS,,PT,,180.5
2016,FI_FSI_FSSNO,,PT,,-1.6
2018,FI_FSI_FSSNO,,PT,,-9.1
2019,FI_FSI_FSSNO,,PT,,-4.0
2020,FI_FSI_FSSNO,,PT,,-4.7
