Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2016,VC_DSR_MORT_1,,PER_100000_POP,,1.59
2017,VC_DSR_MORT_1,,PER_100000_POP,,0.69
2018,VC_DSR_MORT_1,,PER_100000_POP,,2.1
2019,VC_DSR_MORT_1,,PER_100000_POP,,1.08
2020,VC_DSR_MORT_1,,PER_100000_POP,,2.35
2021,VC_DSR_MORT_1,,PER_100000_POP,,0.9
2022,VC_DSR_MORT_1,,PER_100000_POP,,1.55
2023,VC_DSR_MORT_1,,PER_100000_POP,,1.8
2024,VC_DSR_MORT_1,,PER_100000_POP,,1.38
2016,VC_DSR_AFFCT_1,,PER_100000_POP,,1.51
2017,VC_DSR_AFFCT_1,,PER_100000_POP,,1.28
2018,VC_DSR_AFFCT_1,,PER_100000_POP,,2.86
2019,VC_DSR_AFFCT_1,,PER_100000_POP,,2.19
2020,VC_DSR_AFFCT_1,,PER_100000_POP,,3.27
2021,VC_DSR_AFFCT_1,,PER_100000_POP,,1.91
2022,VC_DSR_AFFCT_1,,PER_100000_POP,,3.04
2023,VC_DSR_AFFCT_1,,PER_100000_POP,,3.01
2024,VC_DSR_AFFCT_1,,PER_100000_POP,,3.25
