Year,COMMENT_OBS,Series,Value
2016,"Number of deaths due to disaster per 100,000 population",VC_DSR_MORT_1,1.59
2017,"Number of deaths due to disaster per 100,000 population",VC_DSR_MORT_1,0.69
2018,"Number of deaths due to disaster per 100,000 population",VC_DSR_MORT_1,2.1
2019,"Number of deaths due to disaster per 100,000 population",VC_DSR_MORT_1,1.08
2020,"Number of deaths due to disaster per 100,000 population",VC_DSR_MORT_1,2.35
2021,"Number of deaths due to disaster per 100,000 population",VC_DSR_MORT_1,0.9
2022,"Number of deaths due to disaster per 100,000 population",VC_DSR_MORT_1,1.55
2023,"Number of deaths due to disaster per 100,000 population",VC_DSR_MORT_1,1.8
2024,"Number of deaths due to disaster per 100,000 population",VC_DSR_MORT_1,1.38
2016,"Number of persons injured or missing due to disaster per 100,000 population",VC_DSR_AFFCT_1,1.51
2017,"Number of persons injured or missing due to disaster per 100,000 population",VC_DSR_AFFCT_1,1.28
2018,"Number of persons injured or missing due to disaster per 100,000 population",VC_DSR_AFFCT_1,2.86
2019,"Number of persons injured or missing due to disaster per 100,000 population",VC_DSR_AFFCT_1,2.19
2020,"Number of persons injured or missing due to disaster per 100,000 population",VC_DSR_AFFCT_1,3.27
2021,"Number of persons injured or missing due to disaster per 100,000 population",VC_DSR_AFFCT_1,1.91
2022,"Number of persons injured or missing due to disaster per 100,000 population",VC_DSR_AFFCT_1,3.04
2023,"Number of persons injured or missing due to disaster per 100,000 population",VC_DSR_AFFCT_1,3.01
2024,"Number of persons injured or missing due to disaster per 100,000 population",VC_DSR_AFFCT_1,3.25
