Year,COMMENT_OBS,Series,Value
2015,Proportion of population covered by at least a 2G mobile network,Proportion of population covered by at least a 2G mobile network [9.c.1],99.91
2016,Proportion of population covered by at least a 2G mobile network,Proportion of population covered by at least a 2G mobile network [9.c.1],99.92
2017,Proportion of population covered by at least a 2G mobile network,Proportion of population covered by at least a 2G mobile network [9.c.1],99.92
2018,Proportion of population covered by at least a 2G mobile network,Proportion of population covered by at least a 2G mobile network [9.c.1],99.92
2019,Proportion of population covered by at least a 2G mobile network,Proportion of population covered by at least a 2G mobile network [9.c.1],99.94
2015,Proportion of population covered by at least a 3G mobile network,Proportion of population covered by at least a 3G mobile network [9.c.1],88.01
2016,Proportion of population covered by at least a 3G mobile network,Proportion of population covered by at least a 3G mobile network [9.c.1],92.08
2017,Proportion of population covered by at least a 3G mobile network,Proportion of population covered by at least a 3G mobile network [9.c.1],93.37
2018,Proportion of population covered by at least a 3G mobile network,Proportion of population covered by at least a 3G mobile network [9.c.1],93.37
2019,Proportion of population covered by at least a 3G mobile network,Proportion of population covered by at least a 3G mobile network [9.c.1],97.44
2016,Proportion of population covered by at least a 4G mobile network,Proportion of population covered by at least a 4G mobile network [9.c.1],62.0
2017,Proportion of population covered by at least a 4G mobile network,Proportion of population covered by at least a 4G mobile network [9.c.1],89.0
2018,Proportion of population covered by at least a 4G mobile network,Proportion of population covered by at least a 4G mobile network [9.c.1],96.6
2019,Proportion of population covered by at least a 4G mobile network,Proportion of population covered by at least a 4G mobile network [9.c.1],98.9
