Year,Value,GeoCode,SERIES
2016,0.5,,VC_VAW_DIST
2017,0.8,,VC_VAW_DIST
2018,0.5,,VC_VAW_DIST
2019,0.7,,VC_VAW_DIST
2020,0.5,,VC_VAW_DIST
2021,0.3,,VC_VAW_DIST
2022,0.4,,VC_VAW_DIST
2016,55.0,,VC_HTF_DETV
2017,89.0,,VC_HTF_DETV
2018,63.0,,VC_HTF_DETV
2019,91.0,,VC_HTF_DETV
2020,61.0,,VC_HTF_DETV
2021,41.0,,VC_HTF_DETV
2022,58.0,,VC_HTF_DETV
2020,41.0,,VC_HTF_DETVFL
2021,15.0,,VC_HTF_DETVFL
2022,29.0,,VC_HTF_DETVFL
2020,1.0,,VC_HTF_DETVOP
2020,19.0,,VC_HTF_DETVSX
2021,26.0,,VC_HTF_DETVSX
2022,29.0,,VC_HTF_DETVSX
