Year,Observation-level footnotes,Source details,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2001,Annual growth rate of real GDP per capita,"National Accounts, NISR",Annual growth rate of real GDP per capita [8.1.1],,Percent,,5.7
2002,Annual growth rate of real GDP per capita,"National Accounts, NISR",Annual growth rate of real GDP per capita [8.1.1],,Percent,,10.4
2003,Annual growth rate of real GDP per capita,"National Accounts, NISR",Annual growth rate of real GDP per capita [8.1.1],,Percent,,-0.3
2004,Annual growth rate of real GDP per capita,"National Accounts, NISR",Annual growth rate of real GDP per capita [8.1.1],,Percent,,3.7
2005,Annual growth rate of real GDP per capita,"National Accounts, NISR",Annual growth rate of real GDP per capita [8.1.1],,Percent,,6.9
2006,Annual growth rate of real GDP per capita,"National Accounts, NISR",Annual growth rate of real GDP per capita [8.1.1],,Percent,,6.8
2007,Annual growth rate of real GDP per capita,"National Accounts, NISR",Annual growth rate of real GDP per capita [8.1.1],,Percent,,5.3
2008,Annual growth rate of real GDP per capita,"National Accounts, NISR",Annual growth rate of real GDP per capita [8.1.1],,Percent,,7.6
2009,Annual growth rate of real GDP per capita,"National Accounts, NISR",Annual growth rate of real GDP per capita [8.1.1],,Percent,,4.1
2010,Annual growth rate of real GDP per capita,"National Accounts, NISR",Annual growth rate of real GDP per capita [8.1.1],,Percent,,4.1
2011,Annual growth rate of real GDP per capita,"National Accounts, NISR",Annual growth rate of real GDP per capita [8.1.1],,Percent,,5.8
2012,Annual growth rate of real GDP per capita,"National Accounts, NISR",Annual growth rate of real GDP per capita [8.1.1],,Percent,,5.5
2013,Annual growth rate of real GDP per capita,"National Accounts, NISR",Annual growth rate of real GDP per capita [8.1.1],,Percent,,2.8
2014,Annual growth rate of real GDP per capita,"National Accounts, NISR",Annual growth rate of real GDP per capita [8.1.1],,Percent,,3.3
2015,Annual growth rate of real GDP per capita,"National Accounts, NISR",Annual growth rate of real GDP per capita [8.1.1],,Percent,,6.0
2016,Annual growth rate of real GDP per capita,"National Accounts, NISR",Annual growth rate of real GDP per capita [8.1.1],,Percent,,4.1
2017,Annual growth rate of real GDP per capita,"National Accounts, NISR",Annual growth rate of real GDP per capita [8.1.1],,Percent,,1.3
2018,Annual growth rate of real GDP per capita,"National Accounts, NISR",Annual growth rate of real GDP per capita [8.1.1],,Percent,,5.8
2019,Annual growth rate of real GDP per capita,"National Accounts, NISR",Annual growth rate of real GDP per capita [8.1.1],,Percent,,6.8
2020,Annual growth rate of real GDP per capita,"National Accounts, NISR",Annual growth rate of real GDP per capita [8.1.1],,Percent,,-5.7
2021,Annual growth rate of real GDP per capita,"National Accounts, NISR",Annual growth rate of real GDP per capita [8.1.1],,Percent,,8.3
2022,Annual growth rate of real GDP per capita,"National Accounts, NISR",Annual growth rate of real GDP per capita [8.1.1],,Percent,,5.7
2023,Annual growth rate of real GDP per capita,"National Accounts, NISR",Annual growth rate of real GDP per capita [8.1.1],,Percent,,5.9
2024,Annual growth rate of real GDP per capita,"National Accounts, NISR",Annual growth rate of real GDP per capita [8.1.1],,Percent,,6.5
