Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2016,SL_ISV_IFRM,,,PT,,86.2
2017,SL_ISV_IFRM,,,PT,,84.6
2018,SL_ISV_IFRM,,,PT,,83.5
2019,SL_ISV_IFRM,,,PT,,83.5
2021,SL_ISV_IFRM,,,PT,,82.0
2022,SL_ISV_IFRM,,,PT,,84.1
2023,SL_ISV_IFRM,,,PT,,83.3
2024,SL_ISV_IFRM,,,PT,,85.5
2017,SL_ISV_IFRM,,M,PT,,66.4
2018,SL_ISV_IFRM,,M,PT,,66.3
2019,SL_ISV_IFRM,,M,PT,,64.5
2021,SL_ISV_IFRM,,M,PT,,66.3
2022,SL_ISV_IFRM,,M,PT,,68.2
2023,SL_ISV_IFRM,,M,PT,,65.2
2024,SL_ISV_IFRM,,M,PT,,63.3
2017,SL_ISV_IFRM,,F,PT,,33.6
2018,SL_ISV_IFRM,,F,PT,,33.7
2019,SL_ISV_IFRM,,F,PT,,35.5
2021,SL_ISV_IFRM,,F,PT,,33.3
2022,SL_ISV_IFRM,,F,PT,,33.8
2023,SL_ISV_IFRM,,F,PT,,34.8
2024,SL_ISV_IFRM,,F,PT,,36.7
