Year,Observation-level footnotes,Series,Units,Value
2016,"Number of victims of intentional homicide per 100,000 population","Number of victims of intentional homicide per 100,000 population [16.1.1]","Per 100,000 population",3.4
2017,"Number of victims of intentional homicide per 100,000 population","Number of victims of intentional homicide per 100,000 population [16.1.1]","Per 100,000 population",4.0
2018,"Number of victims of intentional homicide per 100,000 population","Number of victims of intentional homicide per 100,000 population [16.1.1]","Per 100,000 population",3.2
2019,"Number of victims of intentional homicide per 100,000 population","Number of victims of intentional homicide per 100,000 population [16.1.1]","Per 100,000 population",3.3
2020,"Number of victims of intentional homicide per 100,000 population","Number of victims of intentional homicide per 100,000 population [16.1.1]","Per 100,000 population",3.5
2021,"Number of victims of intentional homicide per 100,000 population","Number of victims of intentional homicide per 100,000 population [16.1.1]","Per 100,000 population",3.6
2022,"Number of victims of intentional homicide per 100,000 population","Number of victims of intentional homicide per 100,000 population [16.1.1]","Per 100,000 population",3.0
2016,Number of victims of intentional homicide,Number of victims of intentional homicide [16.1.1],Number,392.0
2017,Number of victims of intentional homicide,Number of victims of intentional homicide [16.1.1],Number,470.0
2018,Number of victims of intentional homicide,Number of victims of intentional homicide [16.1.1],Number,285.0
2019,Number of victims of intentional homicide,Number of victims of intentional homicide [16.1.1],Number,404.0
2020,Number of victims of intentional homicide,Number of victims of intentional homicide [16.1.1],Number,442.0
2021,Number of victims of intentional homicide,Number of victims of intentional homicide [16.1.1],Number,472.0
