Year,Series,Units,Value
2016,"Number of victims of intentional homicide per 100,000 population","Per 100,000 population",3.4
2017,"Number of victims of intentional homicide per 100,000 population","Per 100,000 population",4.0
2018,"Number of victims of intentional homicide per 100,000 population","Per 100,000 population",3.18
2019,"Number of victims of intentional homicide per 100,000 population","Per 100,000 population",3.26
2020,"Number of victims of intentional homicide per 100,000 population","Per 100,000 population",3.49
2016,Number of victims of intentional homicide,Number,392.0
2017,Number of victims of intentional homicide,Number,470.0
2018,Number of victims of intentional homicide,Number,285.0
2019,Number of victims of intentional homicide,Number,404.0
2020,Number of victims of intentional homicide,Number,442.0
