Year,SERIES,Reference area,GeoCode,Value
2000,Manufacturing value added as a proportion of GDP [9.2.1],,,12
2001,Manufacturing value added as a proportion of GDP [9.2.1],,,11
2002,Manufacturing value added as a proportion of GDP [9.2.1],,,12
2003,Manufacturing value added as a proportion of GDP [9.2.1],,,10
2004,Manufacturing value added as a proportion of GDP [9.2.1],,,10
2005,Manufacturing value added as a proportion of GDP [9.2.1],,,10
2006,Manufacturing value added as a proportion of GDP [9.2.1],,,9
2007,Manufacturing value added as a proportion of GDP [9.2.1],,,8
2008,Manufacturing value added as a proportion of GDP [9.2.1],,,8
2009,Manufacturing value added as a proportion of GDP [9.2.1],,,8
2010,Manufacturing value added as a proportion of GDP [9.2.1],,,8
2011,Manufacturing value added as a proportion of GDP [9.2.1],,,8
2012,Manufacturing value added as a proportion of GDP [9.2.1],,,8
2013,Manufacturing value added as a proportion of GDP [9.2.1],,,7
2014,Manufacturing value added as a proportion of GDP [9.2.1],,,7
2015,Manufacturing value added as a proportion of GDP [9.2.1],,,7
2016,Manufacturing value added as a proportion of GDP [9.2.1],,,7
2017,Manufacturing value added as a proportion of GDP [9.2.1],,,8
2018,Manufacturing value added as a proportion of GDP [9.2.1],,,8
2019,Manufacturing value added as a proportion of GDP [9.2.1],,,8
2020,Manufacturing value added as a proportion of GDP [9.2.1],,,9
2021,Manufacturing value added as a proportion of GDP [9.2.1],,,9
2022,Manufacturing value added as a proportion of GDP [9.2.1],,,10
2023,Manufacturing value added as a proportion of GDP [9.2.1],,,10
