Year,SERIES,Reference area,Sex,Age,UNIT_MEASURE,GeoCode,Value
2017,Participation rate in formal and non-formal education and training [4.3.1],,,16 years old and over,Percent,,42.7
2018,Participation rate in formal and non-formal education and training [4.3.1],,,16 years old and over,Percent,,32.3
2019,Participation rate in formal and non-formal education and training [4.3.1],,,16 years old and over,Percent,,35.8
2021,Participation rate in formal and non-formal education and training [4.3.1],,,16 years old and over,Percent,,38.1
2022,Participation rate in formal and non-formal education and training [4.3.1],,,16 years old and over,Percent,,38.6
2017,Participation rate in formal and non-formal education and training [4.3.1],,Male,16 years old and over,Percent,,42.8
2018,Participation rate in formal and non-formal education and training [4.3.1],,Male,16 years old and over,Percent,,32.6
2019,Participation rate in formal and non-formal education and training [4.3.1],,Male,16 years old and over,Percent,,35.7
2021,Participation rate in formal and non-formal education and training [4.3.1],,Male,16 years old and over,Percent,,37.6
2022,Participation rate in formal and non-formal education and training [4.3.1],,Male,16 years old and over,Percent,,38.6
2017,Participation rate in formal and non-formal education and training [4.3.1],,Female,16 years old and over,Percent,,42.6
2018,Participation rate in formal and non-formal education and training [4.3.1],,Female,16 years old and over,Percent,,32.0
2019,Participation rate in formal and non-formal education and training [4.3.1],,Female,16 years old and over,Percent,,35.9
2021,Participation rate in formal and non-formal education and training [4.3.1],,Female,16 years old and over,Percent,,38.5
2022,Participation rate in formal and non-formal education and training [4.3.1],,Female,16 years old and over,Percent,,38.5
