Year,Value,Series
2000,1,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2]
2001,1,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2]
2002,1,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2]
2003,1,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2]
2004,1,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2]
2005,1,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2]
2006,1,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2]
2007,1,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2]
2008,1,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2]
2009,1,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2]
2010,1,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2]
2011,1,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2]
2012,1,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2]
2013,1,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2]
2014,1,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2]
2015,1,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2]
2016,1,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2]
2017,1,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2]
2018,1,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2]
2019,1,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2]
2020,1,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2]
2000,0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
2001,0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
2002,0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
2003,0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
2004,0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
2005,0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
2006,0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
2007,0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
2008,0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
2009,0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
2010,0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
2011,0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
2012,0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
2013,0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
2014,0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
2015,0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
2016,0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
2017,0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
2018,0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
2019,0,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
2000,0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
2001,0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
2002,0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
2003,0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
2004,0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
2005,0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
2006,0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
2007,0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
2008,0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
2009,0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
2010,0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
2011,0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
2012,0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
2013,0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
2014,0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
2015,0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
2016,0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
2017,0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
2018,0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
2019,0,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
