Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2011,Normal value,Units,Not Available,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),Annual,National,Dollar value of all resources made available to strengthen statistical capacity in developing countries [17.19.1],,USD,,7956736.0
2012,Normal value,Units,Not Available,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),Annual,National,Dollar value of all resources made available to strengthen statistical capacity in developing countries [17.19.1],,USD,,10418880.0
2013,Normal value,Units,Not Available,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),Annual,National,Dollar value of all resources made available to strengthen statistical capacity in developing countries [17.19.1],,USD,,5102809.0
2014,Normal value,Units,Not Available,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),Annual,National,Dollar value of all resources made available to strengthen statistical capacity in developing countries [17.19.1],,USD,,408926.0
2015,Normal value,Units,Not Available,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),Annual,National,Dollar value of all resources made available to strengthen statistical capacity in developing countries [17.19.1],,USD,,5094083.0
2016,Normal value,Units,Not Available,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),Annual,National,Dollar value of all resources made available to strengthen statistical capacity in developing countries [17.19.1],,USD,,6574017.0
2017,Normal value,Units,Not Available,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),Annual,National,Dollar value of all resources made available to strengthen statistical capacity in developing countries [17.19.1],,USD,,8400241.4
2018,Normal value,Units,Not Available,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),Annual,National,Dollar value of all resources made available to strengthen statistical capacity in developing countries [17.19.1],,USD,,7426903.8
2019,Normal value,Units,Not Available,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),Annual,National,Dollar value of all resources made available to strengthen statistical capacity in developing countries [17.19.1],,USD,,5200425.3
2020,Normal value,Units,Not Available,Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars),Annual,National,Dollar value of all resources made available to strengthen statistical capacity in developing countries [17.19.1],,USD,,520447.0
