Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2003,MD_NY_GDP_PCAP,,PT,,5.7
2004,MD_NY_GDP_PCAP,,PT,,10.4
2005,MD_NY_GDP_PCAP,,PT,,-0.3
2006,MD_NY_GDP_PCAP,,PT,,3.7
2007,MD_NY_GDP_PCAP,,PT,,6.9
2008,MD_NY_GDP_PCAP,,PT,,6.8
2009,MD_NY_GDP_PCAP,,PT,,5.3
2010,MD_NY_GDP_PCAP,,PT,,7.6
2011,MD_NY_GDP_PCAP,,PT,,4.1
2012,MD_NY_GDP_PCAP,,PT,,4.1
2013,MD_NY_GDP_PCAP,,PT,,5.8
2014,MD_NY_GDP_PCAP,,PT,,5.5
2015,MD_NY_GDP_PCAP,,PT,,2.8
2016,MD_NY_GDP_PCAP,,PT,,3.3
2017,MD_NY_GDP_PCAP,,PT,,1.3
2018,MD_NY_GDP_PCAP,,PT,,5.8
2019,MD_NY_GDP_PCAP,,PT,,6.8
2020,MD_NY_GDP_PCAP,,PT,,-5.7
2021,MD_NY_GDP_PCAP,,PT,,8.3
2022,MD_NY_GDP_PCAP,,PT,,5.7
2023,MD_NY_GDP_PCAP,,PT,,5.9
2024,MD_NY_GDP_PCAP,,PT,,6.5
2017,MD_SL_TLF_UEM,,PT,,17.3
2018,MD_SL_TLF_UEM,,PT,,15.1
2019,MD_SL_TLF_UEM,,PT,,15.2
2020,MD_SL_TLF_UEM,,PT,,17.9
2021,MD_SL_TLF_UEM,,PT,,20.9
2022,MD_SL_TLF_UEM,,PT,,20.5
2023,MD_SL_TLF_UEM,,PT,,17.2
2024,MD_SL_TLF_UEM,,PT,,14.9
2012,MD_CPI,,NUMBER,,88.3
2013,MD_CPI,,NUMBER,,95.4
2014,MD_CPI,,NUMBER,,100.0
2015,MD_CPI,,NUMBER,,100.2
2016,MD_CPI,,NUMBER,,106.4
2017,MD_CPI,,NUMBER,,120.6
2018,MD_CPI,,NUMBER,,119.1
2019,MD_CPI,,NUMBER,,118.5
2020,MD_CPI,,NUMBER,,134.5
2021,MD_CPI,,NUMBER,,137.5
2022,MD_CPI,,NUMBER,,143.3
2023,MD_CPI,,NUMBER,,186.7
2024,MD_CPI,,NUMBER,,192.6
