Year,Observation-level footnotes,Series,Value
2014,Proportion of Women deputies in national parliament,_L_RW_050501_1,56.4
2016,Proportion of Women deputies in national parliament,_L_RW_050501_1,64.0
2018,Proportion of Women deputies in national parliament,_L_RW_050501_1,61.0
2014,Proportion of Women senates in national parliament,_L_RW_050501_2,38.5
2016,Proportion of Women senates in national parliament,_L_RW_050501_2,38.0
2018,Proportion of Women senates in national parliament,_L_RW_050501_2,38.0
2014,Proportion of Women Governors and Mayor of Kigali City in local government,_L_RW_050501_3,25.0
2016,Proportion of Women Governors and Mayor of Kigali City in local government,_L_RW_050501_3,40.0
2018,Proportion of Women Governors and Mayor of Kigali City in local government,_L_RW_050501_3,40.0
2014,Proportion of Women District Mayors in local government,_L_RW_050501_4,6.6
2016,Proportion of Women District Mayors in local government,_L_RW_050501_4,16.7
2018,Proportion of Women District Mayors in local government,_L_RW_050501_4,26.7
2016,Proportion of Women District Vice Mayors in Charge of Economic Affairs in local government,_L_RW_050501_5,20.0
2018,Proportion of Women District Vice Mayors in Charge of Economic Affairs in local government,_L_RW_050501_5,16.7
2016,Proportion of Women District Vice Mayors in Charge of Social Affairs in local government,_L_RW_050501_6,76.7
2018,Proportion of Women District Vice Mayors in Charge of Social Affairs in local government,_L_RW_050501_6,66.7
2014,Proportion of Women Districts Consultative Council in local government,_L_RW_050501_7,44.8
2016,Proportion of Women Districts Consultative Council in local government,_L_RW_050501_7,45.2
2018,Proportion of Women Districts Consultative Council in local government,_L_RW_050501_7,45.2
2016,Proportion of Women Sectors Consultative Council in local government,_L_RW_050501_8,42.5
2018,Proportion of Women Sectors Consultative Council in local government,_L_RW_050501_8,42.7
2016,Proportion of Women Cells Consultative Council in local government,_L_RW_050501_9,34.5
2018,Proportion of Women Cells Consultative Council in local government,_L_RW_050501_9,41.6
2014,Proportion of Women District Executive Secretaries in local government,_L_RW_050501_10,6.7
2016,Proportion of Women District Executive Secretaries in local government,_L_RW_050501_10,7.0
2018,Proportion of Women District Executive Secretaries in local government,_L_RW_050501_10,10.0
2014,Proportion of Women Sector Executive Secretaries in local government,_L_RW_050501_11,9.1
2016,Proportion of Women Sector Executive Secretaries in local government,_L_RW_050501_11,11.0
2018,Proportion of Women Sector Executive Secretaries in local government,_L_RW_050501_11,17.0
2014,Proportion of Women Cell Executive Secretaries in local government,_L_RW_050501_12,37.7
2016,Proportion of Women Cell Executive Secretaries in local government,_L_RW_050501_12,35.0
2018,Proportion of Women Cell Executive Secretaries in local government,_L_RW_050501_12,36.0
