Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,GeoCode,Value
2017,SE_ADT_EDUCTRN,,,Y_GE16,PT,,42.7
2018,SE_ADT_EDUCTRN,,,Y_GE16,PT,,32.3
2019,SE_ADT_EDUCTRN,,,Y_GE16,PT,,35.8
2021,SE_ADT_EDUCTRN,,,Y_GE16,PT,,38.1
2022,SE_ADT_EDUCTRN,,,Y_GE16,PT,,38.6
2017,SE_ADT_EDUCTRN,,M,Y_GE16,PT,,42.8
2018,SE_ADT_EDUCTRN,,M,Y_GE16,PT,,32.6
2019,SE_ADT_EDUCTRN,,M,Y_GE16,PT,,35.7
2021,SE_ADT_EDUCTRN,,M,Y_GE16,PT,,37.6
2022,SE_ADT_EDUCTRN,,M,Y_GE16,PT,,38.6
2017,SE_ADT_EDUCTRN,,F,Y_GE16,PT,,42.6
2018,SE_ADT_EDUCTRN,,F,Y_GE16,PT,,32.0
2019,SE_ADT_EDUCTRN,,F,Y_GE16,PT,,35.9
2021,SE_ADT_EDUCTRN,,F,Y_GE16,PT,,38.5
2022,SE_ADT_EDUCTRN,,F,Y_GE16,PT,,38.5
